conv,timestamp,accuracy_percent
0,2025-11-20 08:37:36,87.50
0,2025-11-20 11:44:00,86.84
0,2025-11-20 11:54:56,86.18
0,2025-11-20 12:05:57,86.18
0,2025-11-20 12:24:29,87.50
0,2025-11-20 12:35:15,86.18
0,2025-11-20 12:45:37,87.50
0,2025-11-20 12:55:51,86.84
0,2025-11-20 15:16:42,85.53
0,2025-11-20 15:48:06,85.53
1,2025-11-20 13:12:56,80.25
1,2025-11-20 14:19:18,82.72
1,2025-11-20 14:44:22,79.01
1,2025-11-20 14:49:21,79.01
1,2025-11-20 15:22:53,82.72
1,2025-11-20 15:28:40,82.72
1,2025-11-20 15:34:08,82.72
1,2025-11-20 15:54:21,81.48
1,2025-11-20 15:59:48,81.48
1,2025-11-20 16:05:12,82.72
2,2025-11-20 16:14:46,84.21
2,2025-11-20 16:25:23,84.87
2,2025-11-20 16:35:25,83.55
2,2025-11-20 16:45:14,84.21
2,2025-11-20 16:55:42,84.21
2,2025-11-20 17:06:00,83.55
2,2025-11-20 17:16:32,84.21
2,2025-11-20 17:26:33,85.53
2,2025-11-20 17:37:12,84.21
2,2025-11-20 17:47:14,84.21
3,2025-11-20 18:00:45,76.88
3,2025-11-20 18:14:19,76.88
3,2025-11-20 18:27:12,76.88
3,2025-11-20 18:40:35,76.88
3,2025-11-20 18:54:03,76.88
3,2025-11-20 19:07:53,75.38
3,2025-11-20 19:20:52,76.38
3,2025-11-20 19:34:45,76.88
3,2025-11-20 19:48:39,76.38
3,2025-11-20 20:03:05,76.38
4,2025-11-20 20:15:33,75.28
4,2025-11-20 20:27:50,75.84
4,2025-11-20 20:40:02,75.84
4,2025-11-20 21:21:44,76.40
4,2025-11-20 21:34:32,75.28
4,2025-11-20 21:46:46,76.40
4,2025-11-20 21:59:23,75.84
4,2025-11-20 22:11:39,75.28
4,2025-11-20 22:23:40,76.97
4,2025-11-20 22:35:57,76.40
5,2025-11-20 22:44:52,78.05
5,2025-11-21 00:00:58,77.24
5,2025-11-21 09:18:53,78.05
5,2025-11-21 09:27:12,78.05
5,2025-11-21 09:35:09,78.86
5,2025-11-21 09:43:32,78.05
5,2025-11-21 09:51:55,78.05
5,2025-11-21 10:00:29,77.24
5,2025-11-21 10:09:44,78.05
6,2025-11-21 10:19:20,76.00
6,2025-11-21 10:28:48,76.00
6,2025-11-21 10:38:44,76.67
6,2025-11-21 10:48:08,76.00
6,2025-11-21 10:57:46,78.00
6,2025-11-21 11:07:25,78.00
6,2025-11-21 11:16:49,76.67
6,2025-11-21 13:24:15,77.33
6,2025-11-21 13:33:43,76.67
7,2025-11-21 16:28:36,86.39
7,2025-11-21 16:41:42,85.86
7,2025-11-21 16:54:41,85.86
7,2025-11-21 17:08:12,85.34
7,2025-11-21 17:21:16,84.29
7,2025-11-21 17:34:10,85.34
7,2025-11-21 17:47:28,86.39
7,2025-11-21 18:00:16,85.86
7,2025-11-21 18:13:54,84.82
7,2025-11-21 18:26:23,85.86
8,2025-11-21 18:37:05,77.56
8,2025-11-21 18:47:28,76.28
8,2025-11-21 18:57:58,77.56
8,2025-11-21 19:09:53,76.92
8,2025-11-21 19:20:07,76.92
8,2025-11-21 19:29:56,75.64
8,2025-11-21 19:40:00,76.92
8,2025-11-21 19:50:44,76.28
8,2025-11-21 20:02:06,76.92
8,2025-11-21 20:13:34,76.28
9,2025-11-21 20:24:12,75.95
9,2025-11-21 20:35:29,76.58
9,2025-11-21 20:46:35,77.22
9,2025-11-21 20:57:25,77.22
9,2025-11-21 21:08:29,76.58
9,2025-11-21 21:18:57,77.22
9,2025-11-21 21:28:55,76.58
9,2025-11-21 21:39:35,75.95
9,2025-11-21 21:49:55,77.22
9,2025-11-21 22:00:37,76.58
